ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,closed_saturday,closed_saturday_lower,closed_saturday_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2009-12-01,26767.2078808022,38998.37588184643,67902.12794565537,26767.2078808022,26767.2078808022,0.0,0.0,0.0,0.0,0.0,0.0,-0.1375854057000949,-0.1375854057000949,-0.1375854057000949,0.9994743195856044,0.9994743195856044,0.9994743195856044,0.3808883810001598,0.3808883810001598,0.3808883810001598,0.7561713442855392,0.7561713442855392,0.7561713442855392,0.0,0.0,0.0,53520.34476467341
2009-12-02,26767.58715003277,32849.82975156626,62119.6954446426,26767.58715003277,26767.58715003277,0.0,0.0,0.0,0.0,0.0,0.0,-0.0813319153740095,-0.0813319153740095,-0.0813319153740095,0.7811502762758298,0.7811502762758298,0.7811502762758298,0.1197868460762913,0.1197868460762913,0.1197868460762913,0.7426953455735479,0.7426953455735479,0.7426953455735479,0.0,0.0,0.0,47677.09524751822
2009-12-03,26767.966419263343,39942.92116557976,67487.99107505691,26767.966419263343,26767.966419263343,0.0,0.0,0.0,0.0,0.0,0.0,-0.0397346521701015,-0.0397346521701015,-0.0397346521701015,1.0332562499965512,1.0332562499965512,1.0332562499965512,0.3488135680005432,0.3488135680005432,0.3488135680005432,0.7241773341661094,0.7241773341661094,0.7241773341661094,0.0,0.0,0.0,54426.135021665
2009-12-04,26768.345688493915,31671.78836848621,60935.23630804967,26768.345688493915,26768.345688493915,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073814544855244,-0.0073814544855244,-0.0073814544855244,0.7432294682952649,0.7432294682952649,0.7432294682952649,0.0504360195018387,0.0504360195018387,0.0504360195018387,0.7001749032789506,0.7001749032789506,0.7001749032789506,0.0,0.0,0.0,46663.36902169709
2009-12-05,26768.724957724487,4858.144328138836,34168.56964367024,26768.724957724487,26768.724957724487,-0.25063966,-0.25063966,-0.25063966,-0.25063966,-0.25063966,-0.25063966,0.0374829409347688,0.0374829409347688,0.0374829409347688,-0.2480225044034025,-0.2480225044034025,-0.2480225044034025,-0.7052014574799323,-0.7052014574799323,-0.7052014574799323,0.6703356721417612,0.6703356721417612,0.6703356721417612,0.0,0.0,0.0,20129.478754023792
2009-12-06,26769.10422695506,23085.685536884022,50916.37163784745,26769.10422695506,26769.10422695506,0.0,0.0,0.0,0.0,0.0,0.0,0.0994038471334589,0.0994038471334589,0.0994038471334589,0.3566882571357451,0.3566882571357451,0.3566882571357451,-0.3771297879391314,-0.3771297879391314,-0.3771297879391314,0.6344141979414176,0.6344141979414176,0.6344141979414176,0.0,0.0,0.0,36317.32935875277
2009-12-07,26769.483496185632,37140.8936086828,65435.938291290026,26769.483496185632,26769.483496185632,0.0,0.0,0.0,0.0,0.0,0.0,0.1499299427630154,0.1499299427630154,0.1499299427630154,0.924622841619514,0.924622841619514,0.924622841619514,0.182406430841901,0.182406430841901,0.182406430841901,0.5922864680145975,0.5922864680145975,0.5922864680145975,0.0,0.0,0.0,51521.15939511547
2009-12-08,26769.862765416205,41136.55562109111,70725.8753374711,26769.862765416205,26769.862765416205,0.0,0.0,0.0,0.0,0.0,0.0,0.149222662341223,0.149222662341223,0.149222662341223,1.074072513255462,1.074072513255462,1.074072513255462,0.3808883810002091,0.3808883810002091,0.3808883810002091,0.5439614699140298,0.5439614699140298,0.5439614699140298,0.0,0.0,0.0,55522.63654537061
2009-12-09,26770.242034646773,31071.807422100348,58931.25492282647,26770.242034646773,26770.242034646773,0.0,0.0,0.0,0.0,0.0,0.0,0.0867281550256857,0.0867281550256857,0.0867281550256857,0.6961044148809505,0.6961044148809505,0.6961044148809505,0.1197868460764511,0.1197868460764511,0.1197868460764511,0.4895894137788137,0.4895894137788137,0.4895894137788137,0.0,0.0,0.0,45405.12570239599
2009-12-10,26770.621303877346,32988.4252376489,61320.11327742676,26770.621303877346,26770.621303877346,0.0,0.0,0.0,0.0,0.0,0.0,0.0009785294582334,0.0009785294582334,0.0009785294582334,0.779258369239429,0.779258369239429,0.779258369239429,0.3488135679997372,0.3488135679997372,0.3488135679997372,0.4294662717814584,0.4294662717814584,0.4294662717814584,0.0,0.0,0.0,47631.85200466312
2009-12-11,26771.00057310792,22404.386407475573,51534.862578491855,26771.00057310792,26771.00057310792,0.0,0.0,0.0,0.0,0.0,0.0,-0.0444223023588052,-0.0444223023588052,-0.0444223023588052,0.3700481179419565,0.3700481179419565,0.3700481179419565,0.0504360195014517,0.0504360195014517,0.0504360195014517,0.36403440079931,0.36403440079931,0.36403440079931,0.0,0.0,0.0,36677.55895060954
2009-12-12,26771.37984233849,-4860.179507197111,23253.96831441085,26771.37984233849,26771.37984233849,-0.25063966,-0.25063966,-0.25063966,-0.25063966,-0.25063966,-0.25063966,-0.0109359614740474,-0.0109359614740474,-0.0109359614740474,-0.6728979549728404,-0.6728979549728404,-0.6728979549728404,-0.7052014574798922,-0.7052014574798922,-0.7052014574798922,0.2938791239810991,0.2938791239810991,0.2938791239810991,0.0,0.0,0.0,8756.973094627796
2009-12-13,26771.759111569063,10525.324325770014,38926.37747185334,26771.759111569063,26771.759111569063,0.0,0.0,0.0,0.0,0.0,0.0,0.0822275171627728,0.0822275171627728,0.0822275171627728,-0.0751810093208536,-0.0751810093208536,-0.0751810093208536,-0.3771297879385726,-0.3771297879385726,-0.3771297879385726,0.2197212614549461,0.2197212614549461,0.2197212614549461,0.0,0.0,0.0,24759.031240266544
2009-12-14,26772.138380799635,25909.069354523737,54772.77044260107,26772.138380799635,26772.138380799635,0.0,0.0,0.0,0.0,0.0,0.0,0.172393440909239,0.172393440909239,0.172393440909239,0.4972055884922192,0.4972055884922192,0.4972055884922192,0.1824064308422044,0.1824064308422044,0.1824064308422044,0.1424057167407757,0.1424057167407757,0.1424057167407757,0.0,0.0,0.0,40083.395199620245
2009-12-15,26772.517650030208,30325.38847057372,58593.61549161899,26772.517650030208,26772.517650030208,0.0,0.0,0.0,0.0,0.0,0.0,0.2025746423276423,0.2025746423276423,0.2025746423276423,0.6463493634784474,0.6463493634784474,0.6463493634784474,0.3808883810004553,0.3808883810004553,0.3808883810004553,0.0628863401503496,0.0628863401503496,0.0628863401503496,0.0,0.0,0.0,44076.91739184273
